slug,parent,title,filepath,status,post_type,target,goal,seo_title,seo_keywords,seo_description,handson_overview
project-structure,introduction,プロジェクト構造,contents/nextjs-basics/introduction/project-structure.md,not_started,pages,中級開発者,"Next.jsプロジェクトのディレクトリ構成と各ファイルの役割。規約ベースの設計思想を理解する","Next.jsプロジェクト構造の理解 | ディレクトリ構成と規約","Next.js プロジェクト構造, ディレクトリ構成, ファイル構成, 規約","Next.jsプロジェクトの標準的な構造と各ディレクトリ・ファイルの役割","プロジェクト構造の確認、各ディレクトリの役割理解、ファイル組織化のベストプラクティス確認手順を掲載"
pages-router,nextjs-basics,Pages Router,contents/nextjs-basics/pages-router/pages-router.md,not_started,pages,中級開発者,"Next.js Pages Routerの全体像を理解し、基本から動的ルーティングまで体系的に学習する","Next.js Pages Router完全ガイド | ファイルベースルーティング","Next.js Pages Router, ファイルベースルーティング, 動的ルート","Next.js Pages Routerの基本から応用まで体系的に習得",不要
pages-router-basics,pages-router,Pages Router基礎,contents/nextjs-basics/pages-router/pages-router-basics.md,not_started,pages,中級開発者,"Next.js Pages Routerの基本概念。ファイルベースルーティングとページコンポーネントの作成","Pages Router の基礎知識 | ファイルベースルーティング実装","Next.js Pages Router, ファイルベースルーティング, ページ, ルーティング","Next.js Pages Routerの基礎からファイルベースルーティングまで実践的に学習","ページ作成、ルーティング確認、Linkコンポーネント、動的ルート基礎の実装手順を掲載"
dynamic-routing,pages-router,動的ルーティング,contents/nextjs-basics/pages-router/dynamic-routing.md,not_started,pages,中級開発者,"動的セグメントとクエリパラメータの処理。useRouterフックの活用法","動的ルーティングとパラメータ処理 | useRouter活用法","Next.js 動的ルーティング, パラメータ, useRouter, クエリ","Next.jsの動的ルーティングでパラメータを処理する実践的な方法","動的ルート作成、パラメータ取得、useRouter使用、クエリパラメータ処理の実装手順を掲載"
api-routes,pages-router,API Routes,contents/nextjs-basics/pages-router/api-routes.md,not_started,pages,中級開発者,"Next.js API Routesを使ったRESTful APIの構築。リクエスト処理とレスポンス生成","API Routes でサーバーサイド開発 | RESTful API構築","Next.js API Routes, REST API, サーバーサイド, リクエスト処理","Next.js API Routesで効率的なサーバーサイドAPI開発を学ぶ","API Route作成、HTTPメソッド処理、リクエスト・レスポンス処理、エラーハンドリングの実装手順を掲載"
styling,nextjs-basics,スタイリング,contents/nextjs-basics/styling/styling.md,not_started,pages,中級開発者,"Next.jsでのスタイリング手法の全体像を理解し、CSS ModulesからTailwind CSSまで体系的に学習する","Next.jsスタイリング完全ガイド | CSS Modules・Tailwind CSS","Next.js スタイリング, CSS Modules, Tailwind CSS, スタイル手法","Next.jsでのスタイリング手法を体系的に習得し、プロジェクトに応じた適切な選択ができる",不要
css-modules,styling,CSS Modules,contents/nextjs-basics/styling/css-modules.md,not_started,pages,中級開発者,"CSS Modulesによるコンポーネントスコープのスタイリング。クラス名の衝突回避","CSS Modules でスコープ化CSS | クラス名衝突回避","Next.js CSS Modules, スタイリング, スコープ, クラス名","CSS Modulesを使ったNext.jsアプリのスコープ化スタイリング手法","CSS Modules設定、スタイル作成、クラス名バインディング、動的スタイリングの実装手順を掲載"
tailwind-css,styling,Tailwind CSS,contents/nextjs-basics/styling/tailwind-css.md,not_started,pages,中級開発者,"Next.jsでTailwind CSSをセットアップ。ユーティリティファーストのスタイリング","Tailwind CSS との統合 | ユーティリティファーストスタイリング","Next.js Tailwind CSS, ユーティリティファースト, CSS フレームワーク","Next.jsプロジェクトでTailwind CSSを効率的に活用する方法","Tailwind CSS導入、設定、ユーティリティクラス使用、カスタマイズの実装手順を掲載"
data-fetching,nextjs-basics,データフェッチング,contents/nextjs-basics/data-fetching/data-fetching.md,not_started,pages,中級開発者,"Next.jsのデータフェッチング手法の全体像を理解し、SSG、SSR、クライアントサイドの適切な使い分けを学習する","Next.jsデータフェッチング完全マスター | SSG・SSR・ISR使い分け","Next.js データフェッチング, SSG SSR ISR, getStaticProps getServerSideProps","Next.jsのデータフェッチング手法を体系的に理解し、適切な選択基準を習得",不要
data-fetching-overview,data-fetching,データフェッチング概要,contents/nextjs-basics/data-fetching/data-fetching-overview.md,not_started,pages,中級開発者,"Next.jsの各種データフェッチング手法の概要。SSG、SSR、クライアントサイドの使い分け","Next.js データフェッチング手法の比較 | SSG・SSR・ISR選択基準","Next.js データフェッチング, SSG SSR ISR, クライアントサイド","Next.jsのデータフェッチング手法を比較し適切な選択基準を解説",不要
getstaticprops,data-fetching,getStaticProps,contents/nextjs-basics/data-fetching/getstaticprops.md,not_started,pages,中級開発者,"getStaticPropsを使ったビルド時データフェッチ。静的サイト生成のパフォーマンスメリット","getStaticProps で静的サイト生成 | ビルド時データフェッチ","Next.js getStaticProps, SSG, 静的サイト生成, ビルド時","getStaticPropsで高速な静的サイトを構築する実践的な方法","getStaticProps実装、データフェッチ、静的生成確認、ISR設定の実装手順を掲載"
getserversideprops,data-fetching,getServerSideProps,contents/nextjs-basics/data-fetching/getserversideprops.md,not_started,pages,中級開発者,"getServerSidePropsを使ったリクエスト時データフェッチ。動的コンテンツの処理","getServerSideProps でサーバーサイドレンダリング | リクエスト時データフェッチ","Next.js getServerSideProps, SSR, サーバーサイドレンダリング, 動的","getServerSidePropsで動的コンテンツをサーバーサイドレンダリングする方法","getServerSideProps実装、リクエスト処理、コンテキスト活用、エラーハンドリングの実装手順を掲載"
optimization,nextjs-basics,最適化基礎,contents/nextjs-basics/optimization/optimization.md,not_started,pages,中級開発者,"Next.jsの基本的な最適化手法を理解し、画像最適化からバンドル最適化まで体系的に学習する","Next.js最適化基礎 | 画像・フォント・バンドル最適化","Next.js 最適化, 画像最適化, next/image, バンドル最適化","Next.jsの基本的な最適化手法を体系的に習得し、高速なアプリケーションを構築",不要
image-optimization,optimization,画像最適化,contents/nextjs-basics/optimization/image-optimization.md,not_started,pages,中級開発者,"next/imageコンポーネントによる自動画像最適化。WebP変換、遅延読み込み、レスポンシブ対応","Next.js Image コンポーネント活用 | 自動画像最適化","Next.js 画像最適化, next/image, WebP, 遅延読み込み","Next.js Imageコンポーネントで画像を最適化しWebサイトを高速化","Image コンポーネント使用、レスポンシブ画像、遅延読み込み、最適化設定の実装手順を掲載"
deployment,nextjs-basics,デプロイ,contents/nextjs-basics/deployment/deployment.md,not_started,pages,中級開発者,"Next.jsアプリのデプロイ手法を理解し、Vercelを中心とした本番環境へのデプロイを学習する","Next.jsデプロイ完全ガイド | Vercel・本番環境構築","Next.js デプロイ, Vercel, 本番環境, CI/CD","Next.jsアプリを本番環境にデプロイする手法を体系的に習得",不要
vercel-deployment,deployment,Vercelデプロイ,contents/nextjs-basics/deployment/vercel-deployment.md,not_started,pages,中級開発者,"VercelでのNext.jsアプリデプロイ手順。GitHubとの連携とCI/CD自動化","Vercel で簡単デプロイ | GitHub連携とCI/CD自動化","Next.js Vercel デプロイ, GitHub CI/CD, 自動デプロイ","VercelでNext.jsアプリを簡単にデプロイする完全ガイド","Vercel設定、GitHub連携、環境変数設定、自動デプロイ確認の実装手順を掲載"
testing,nextjs-basics,テスト,contents/nextjs-basics/testing/testing.md,not_started,pages,中級開発者,"Next.jsアプリのテスト手法を理解し、ユニットテストから統合テストまで体系的に学習する","Next.jsテスト完全ガイド | Jest・Testing Library","Next.js テスト, Jest, Testing Library, ユニットテスト, 統合テスト","Next.jsアプリの品質を保つテスト手法を体系的に習得",不要
unit-testing-basics,testing,ユニットテスト,contents/nextjs-basics/testing/unit-testing-basics.md,not_started,pages,中級開発者,"Next.jsアプリのユニットテスト環境構築。コンポーネントとAPIのテスト手法","Jest・Testing Library でユニットテスト | コンポーネントテスト手法","Next.js テスト, Jest, Testing Library, ユニットテスト","Next.jsプロジェクトでJestとTesting Libraryを使ったユニットテスト","テスト環境構築、コンポーネントテスト、モック作成、テスト実行の実装手順を掲載"
middleware-basics,pages-router,ミドルウェア基礎,contents/nextjs-basics/pages-router/middleware-basics.md,not_started,pages,中級開発者,"Next.jsミドルウェアの基本概念とリクエスト処理。認証やリダイレクトの実装","Next.jsミドルウェア基礎 | リクエスト処理とセキュリティ","Next.js ミドルウェア, middleware, リクエスト処理, セキュリティ","Next.jsミドルウェアでリクエスト処理を効率化し、セキュリティを強化する方法","ミドルウェア作成、リクエスト処理、リダイレクト、認証チェックの実装手順を掲載"
custom-app-document,pages-router,カスタムApp・Document,contents/nextjs-basics/pages-router/custom-app-document.md,not_started,pages,中級開発者,"_app.jsと_document.jsを使ったアプリケーション全体のカスタマイズ。グローバル設定とHTML構造の制御","カスタムApp・Documentでアプリ全体をカスタマイズ","Next.js _app.js _document.js, カスタム設定, グローバル","Next.jsのカスタムApp・DocumentでHTML構造とアプリケーション全体を制御","カスタムApp作成、グローバル設定、Document設定、メタタグ設定の実装手順を掲載"
styled-components,styling,Styled Components,contents/nextjs-basics/styling/styled-components.md,not_started,pages,中級開発者,"Styled ComponentsによるCSS-in-JSスタイリング。動的スタイリングとテーマ機能","Styled Components で動的スタイリング | CSS-in-JS実装","Next.js Styled Components, CSS-in-JS, 動的スタイリング","Styled ComponentsでNext.jsアプリに動的なスタイリングを実装","Styled Components設定、コンポーネントスタイリング、テーマプロバイダー、動的スタイルの実装手順を掲載"
global-styles,styling,グローバルスタイル,contents/nextjs-basics/styling/global-styles.md,not_started,pages,中級開発者,"Next.jsアプリケーション全体でのグローバルスタイルの管理。CSSリセットとフォント設定","Next.jsグローバルスタイル管理 | CSSリセット・フォント設定","Next.js グローバルスタイル, CSS リセット, フォント設定","Next.jsアプリでグローバルスタイルを効率的に管理する方法","グローバルCSS設定、フォント読み込み、CSSリセット、変数定義の実装手順を掲載"
css-in-js,styling,CSS-in-JS手法,contents/nextjs-basics/styling/css-in-js.md,not_started,pages,中級開発者,"CSS-in-JSライブラリの比較と選択基準。Emotion、Styled Components、Stitchesの特徴","CSS-in-JSライブラリ比較 | Emotion・Styled Components・Stitches","CSS-in-JS, Emotion, Styled Components, Stitches","CSS-in-JSライブラリの特徴を比較し、プロジェクトに適した選択をする","各ライブラリの基本設定、パフォーマンス比較、移行手順、選択基準の確認手順を掲載"
getstaticpaths,data-fetching,getStaticPaths,contents/nextjs-basics/data-fetching/getstaticpaths.md,not_started,pages,中級開発者,"getStaticPathsを使った動的ルートの静的生成。大量のページの効率的な生成手法","getStaticPaths で動的ページの静的生成 | 効率的なページ生成","Next.js getStaticPaths, 動的ルート, 静的生成, パフォーマンス","getStaticPathsで動的ルートの静的ページを効率的に生成する実践的な方法","getStaticPaths実装、パス生成、fallback設定、ISR連携の実装手順を掲載"
client-side-fetching,data-fetching,クライアントサイドフェッチング,contents/nextjs-basics/data-fetching/client-side-fetching.md,not_started,pages,中級開発者,"useEffectとfetch APIを使ったクライアントサイドでのデータ取得。ローディング状態とエラーハンドリング","クライアントサイドデータフェッチング | useEffect・fetch API活用","Next.js クライアントサイド, fetch API, useEffect, データ取得","Next.jsでクライアントサイドデータフェッチングを効率的に実装する方法","fetch API使用、useEffect実装、ローディング状態管理、エラーハンドリングの実装手順を掲載"
swr-usage,data-fetching,SWR活用,contents/nextjs-basics/data-fetching/swr-usage.md,not_started,pages,中級開発者,"SWRライブラリを使ったデータフェッチングの最適化。キャッシュ、再検証、楽観的更新","SWRでデータフェッチング最適化 | キャッシュ・再検証・楽観的更新","Next.js SWR, データフェッチング, キャッシュ, 再検証","SWRライブラリでNext.jsアプリのデータフェッチングを最適化","SWR設定、データ取得、キャッシュ活用、楽観的更新、エラーハンドリングの実装手順を掲載"
font-optimization,optimization,フォント最適化,contents/nextjs-basics/optimization/font-optimization.md,not_started,pages,中級開発者,"next/fontによるフォントの最適化。Google Fontsとカスタムフォントの効率的な読み込み","Next.js Font 最適化 | Google Fonts・カスタムフォント効率読み込み","Next.js フォント最適化, next/font, Google Fonts, Web フォント","Next.js Fontでフォントを最適化しWebサイトのパフォーマンスを向上","next/font設定、Google Fonts読み込み、カスタムフォント、フォント表示最適化の実装手順を掲載"
bundle-optimization,optimization,バンドル最適化,contents/nextjs-basics/optimization/bundle-optimization.md,not_started,pages,中級開発者,"Webpackバンドルの最適化。コード分割、Tree Shaking、動的インポートによるパフォーマンス向上","Next.jsバンドル最適化 | コード分割・Tree Shaking・動的インポート","Next.js バンドル最適化, コード分割, Tree Shaking, 動的インポート","Next.jsアプリのバンドルサイズを最適化しパフォーマンスを向上する手法","バンドル分析、コード分割設定、動的インポート、Tree Shaking最適化の実装手順を掲載"
integration-testing,testing,統合テスト,contents/nextjs-basics/testing/integration-testing.md,not_started,pages,中級開発者,"Next.jsアプリの統合テスト実装。ページ遷移、APIルート、データフェッチングのテスト","Next.js統合テスト | ページ・API・データフェッチングテスト","Next.js 統合テスト, E2E テスト, API テスト","Next.jsアプリの統合テストで品質を向上し、バグを未然に防ぐ","統合テスト環境構築、ページテスト、APIテスト、データフェッチングテストの実装手順を掲載"
troubleshooting-basics,nextjs-basics,トラブルシューティング,contents/nextjs-basics/troubleshooting.md,not_started,pages,中級開発者,"Next.js基礎レベルでよく遭遇するエラーとその解決法。開発効率向上のためのデバッグ手法","Next.js基礎トラブルシューティング | よくあるエラーと解決法","Next.js トラブルシューティング, エラー解決, デバッグ","Next.js開発でよくあるエラーを素早く解決し、開発効率を向上","よくあるエラーパターン、デバッグ手順、ログ確認、問題解決手法の確認手順を掲載"
nextjs-intermediate,,Next.js中級,contents/nextjs-intermediate/nextjs-intermediate.md,not_started,pages,実践者,"Next.jsの中級機能を習得し、App RouterとServer Componentsを使った現代的なアプリケーション開発を学習する","Next.js中級完全ガイド | App Router・Server Components","Next.js 中級, App Router, Server Components, データ戦略","Next.js中級機能を体系的に習得し、現代的なアプリケーション開発スキルを身につける",不要
app-router,nextjs-intermediate,App Router,contents/nextjs-intermediate/app-router/app-router.md,not_started,pages,実践者,"Next.js App Routerの全体像を理解し、appディレクトリ構造から高度なルーティング機能まで体系的に学習する","Next.js App Router完全マスター | appディレクトリ・高度ルーティング","Next.js App Router, appディレクトリ, レイアウト, ネストルート","Next.js App Routerの基本から応用まで体系的に習得",不要
app-router-introduction,app-router,App Router導入,contents/nextjs-intermediate/app-router/app-router-introduction.md,not_started,pages,実践者,"App RouterとPages Routerの違い。移行のメリットとベストプラクティス","App Router導入ガイド | Pages Routerからの移行メリット","Next.js App Router, Pages Router, 移行, ベストプラクティス","App Routerの特徴と移行メリットを理解し、効果的な導入を実現","App Router設定、Pages Routerからの移行、基本構造理解、初期設定の実装手順を掲載"
app-directory-structure,app-router,appディレクトリ構造,contents/nextjs-intermediate/app-router/app-directory-structure.md,not_started,pages,実践者,"appディレクトリの構造と各ファイルの役割。ファイルベースルーティングの新しい規約","appディレクトリ構造の完全理解 | ファイルベース新規約","Next.js appディレクトリ, ファイル構造, ルーティング規約","App Routerのappディレクトリ構造を理解し、効率的なファイル組織化を実現","ディレクトリ構造の確認、特別ファイルの役割理解、命名規約、組織化パターンの実装手順を掲載"
layouts-templates,app-router,レイアウト・テンプレート,contents/nextjs-intermediate/app-router/layouts-templates.md,not_started,pages,実践者,"ネストレイアウトとテンプレートによる柔軟なページ構成。状態保持とレンダリング最適化","レイアウト・テンプレートによる柔軟なページ設計","Next.js レイアウト, テンプレート, ネスト構造, 状態管理","App Routerのレイアウト・テンプレート機能で柔軟なページ構成を実現","レイアウト作成、ネストレイアウト、テンプレート設定、状態管理の実装手順を掲載"
loading-error-pages,app-router,ローディング・エラーページ,contents/nextjs-intermediate/app-router/loading-error-pages.md,not_started,pages,実践者,"loading.jsとerror.jsによるUX向上。ストリーミングとエラー境界の実装","ローディング・エラーページでUX向上 | ストリーミング・エラー境界","Next.js loading.js error.js, ストリーミング, エラー境界","App Routerのローディング・エラーページでユーザーエクスペリエンスを向上","loading.js作成、error.js実装、ストリーミング設定、エラー境界処理の実装手順を掲載"
nested-routing,app-router,ネストルーティング,contents/nextjs-intermediate/app-router/nested-routing.md,not_started,pages,実践者,"深い階層のルーティング構造とURL設計。SEOとナビゲーションの最適化","ネストルーティングによる階層URL設計 | SEO・ナビゲーション最適化","Next.js ネストルーティング, URL設計, SEO, ナビゲーション","App Routerのネストルーティングで構造化されたURL設計を実現","ネストルート作成、URL設計、パラメータ取得、SEO最適化の実装手順を掲載"
route-groups,app-router,ルートグループ,contents/nextjs-intermediate/app-router/route-groups.md,not_started,pages,実践者,"ルートグループによる論理的なファイル組織化。URLに影響しないディレクトリ構造","ルートグループによるファイル組織化 | URL構造に影響しない整理","Next.js ルートグループ, ファイル組織化, ディレクトリ構造","ルートグループでファイルを論理的に整理し、保守性の高いプロジェクト構造を構築","ルートグループ作成、ファイル組織化、レイアウト共有、プロジェクト構造最適化の実装手順を掲載"
parallel-routes,app-router,パラレルルート,contents/nextjs-intermediate/app-router/parallel-routes.md,not_started,pages,実践者,"パラレルルートによる同時レンダリング。モーダルとマルチページ表示の実装","パラレルルートで同時レンダリング | モーダル・マルチページ実装","Next.js パラレルルート, 同時レンダリング, モーダル","パラレルルートで複数のページコンテンツを同時にレンダリングし、高度なUI体験を提供","パラレルルート設定、スロット定義、モーダル実装、マルチページ表示の実装手順を掲載"
server-client-components,nextjs-intermediate,Server・Client Components,contents/nextjs-intermediate/server-client-components/server-client-components.md,not_started,pages,実践者,"Server ComponentsとClient Componentsの全体像を理解し、適切な使い分けとコンポーネント設計を学習する","Server・Client Components完全ガイド | 適切な使い分けと設計","Next.js Server Components, Client Components, 使い分け","Server ComponentsとClient Componentsを適切に使い分け、高性能なアプリケーションを構築",不要
server-components-overview,server-client-components,Server Components概要,contents/nextjs-intermediate/server-client-components/server-components-overview.md,not_started,pages,実践者,"React Server Componentsの基本概念とメリット。サーバーサイドレンダリングの新しいアプローチ","Server Components基礎 | React Server Componentsの革新","Next.js Server Components, React Server Components, SSR","Server Componentsの基本概念とサーバーサイドレンダリングの新しいアプローチを理解","Server Components作成、データ取得、レンダリング確認、パフォーマンス測定の実装手順を掲載"
client-components-overview,server-client-components,Client Components概要,contents/nextjs-intermediate/server-client-components/client-components-overview.md,not_started,pages,実践者,"Client Componentsの役割とブラウザ側での実行。インタラクティブ機能とstate管理","Client Components基礎 | ブラウザサイド実行とインタラクション","Next.js Client Components, ブラウザサイド, インタラクティブ","Client Componentsでインタラクティブな機能を実装し、優れたユーザー体験を提供","Client Components作成、インタラクティブ機能、state管理、イベント処理の実装手順を掲載"
