slug,parent,title,filepath,status,post_type,target,goal,seo_title,seo_keywords,seo_description,handson_overview
conversation-tips,basic-operations,会話継続のコツ,contents/level1-chatgpt-basics/basic-operations/conversation-tips.md,not_started,pages,初学者,"やり取りを前提とした改善サイクルの回し方を学ぶ。","ChatGPTと上手に会話するコツ","プロンプト 改善, 逐次指示, 反復","フィードバックや制約追加で精度を高める方法を解説。",不要
history-management,basic-operations,履歴管理,contents/level1-chatgpt-basics/basic-operations/history-management.md,not_started,pages,初学者,"会話履歴を整理・再利用し学習効率を高める。","チャット履歴の整理と再利用","ChatGPT 履歴 管理, ワークスペース","履歴の命名・テンプレ化・再利用のコツを紹介。",不要
prompt-fundamentals,level1-chatgpt-basics,プロンプト基礎,contents/level1-chatgpt-basics/prompt-fundamentals/prompt-fundamentals.md,not_started,pages,初学者,"安定して再現性のある出力を得るためのプロンプト設計の原則を学ぶ。","プロンプト設計の基礎","プロンプト 設計, 出力最適化, コンテキスト","構造・指示・制約・評価の観点で基礎固め。",不要
prompt-structure,prompt-fundamentals,プロンプトの構造,contents/level1-chatgpt-basics/prompt-fundamentals/prompt-structure.md,not_started,pages,初学者,"プロンプトの共通構造を理解し再利用可能な型を作る。","再現性の高いプロンプトの型","プロンプト テンプレ, 出力形式, 役割 指定","役割/目的/制約/出力指定の型を実例付きで提示。","テンプレ配布→穴埋め→比較検証"
instructions,prompt-fundamentals,指示の与え方,contents/level1-chatgpt-basics/prompt-fundamentals/instructions.md,not_started,pages,初学者,"誤読されにくい指示文の書き方を身につける。","誤解されない指示の書き方","明確な 指示, 禁則 例, 具体化","箇条書き指示・禁止事項・評価基準の与え方を解説。",不要
context-setting,prompt-fundamentals,コンテキスト設定,contents/level1-chatgpt-basics/prompt-fundamentals/context-setting.md,not_started,pages,初学者,"必要十分な前提情報を効率よく与える方法を学ぶ。","文脈の与え方と省略のコツ","コンテキスト 提供, 参考資料, Few-shot","必要情報の最小集合の見極め方を紹介。",不要
output-format,prompt-fundamentals,出力形式指定,contents/level1-chatgpt-basics/prompt-fundamentals/output-format.md,not_started,pages,初学者,"後工程で使いやすい出力（表/JSON/箇条書き）を指定できるようにする。","出力形式の指定テクニック","フォーマット 指定, JSON 出力, 表生成","検証しやすく再利用しやすい出力設計を実例で学ぶ。","JSON/CSV/Markdownの雛形で練習"
improvement-techniques,prompt-fundamentals,改善テクニック,contents/level1-chatgpt-basics/prompt-fundamentals/improvement-techniques.md,not_started,pages,初学者,"反復で品質を上げるデバッグ観点を身につける。","プロンプトの改善フレーム","検証 観点, 反復 改善, 品質","失敗例→原因→改善案という型で鍛える。",不要
usage-patterns,level1-chatgpt-basics,活用パターン,contents/level1-chatgpt-basics/usage-patterns/usage-patterns.md,not_started,pages,初学者,"よく使う業務シナリオでの活用を体系化して再現可能にする。","ChatGPT活用パターン集","文書作成, ブレスト, 学習, 翻訳 要約, Q&A","汎用シナリオをレシピ化してすぐ使える形で提供。",不要
writing-support,usage-patterns,文書作成支援,contents/level1-chatgpt-basics/usage-patterns/writing-support.md,not_started,pages,初学者,"文章生成・推敲・校正の基本を習得する。","文書作成を高速化するプロンプト","文章作成 支援, 校正, リライト","メール/報告書/記事の雛形と改善プロンプト例を提供。","雛形→差し替え→QAチェックの流れを体験"
idea-generation,usage-patterns,アイデア発想,contents/level1-chatgpt-basics/usage-patterns/idea-generation.md,not_started,pages,初学者,"ブレインストーミングを効率化し発散と収束を管理する。","アイデア発想プロンプト集","ブレスト, アイデア 出し, 企画","発散→クラスタ→評価→収束の型を提供。",不要
learning-support,usage-patterns,学習サポート,contents/level1-chatgpt-basics/usage-patterns/learning-support.md,not_started,pages,初学者,"学習計画の作成と理解チェックを自走できるようにする。","自学自習を加速する使い方","学習計画, 小テスト, 反転学習","学習目標→計画→小テスト→復習の回し方を解説。",不要
translation-summary,usage-patterns,翻訳・要約,contents/level1-chatgpt-basics/usage-patterns/translation-summary.md,not_started,pages,初学者,"翻訳・要約の品質を安定させる指示のコツを学ぶ。","高品質な翻訳・要約の作り方","翻訳 プロンプト, 要約, 品質","用途別の評価観点とチェックリストを提供。",不要
qna,usage-patterns,Q&A活用,contents/level1-chatgpt-basics/usage-patterns/qna.md,not_started,pages,初学者,"専門外の質問でも安全に回答を得るための手順を理解する。","Q&Aで外さない聞き方","質問 技術, 情報精度, 参照要求","検証可能な回答を得るための指示・根拠要求のコツ。",不要
troubleshooting,level1-chatgpt-basics,よくある問題と解決法,contents/level1-chatgpt-basics/troubleshooting/troubleshooting.md,not_started,pages,初学者,"よくある詰まりポイントを事前に回避し、自己解決力を高める。","トラブルシューティング集","ChatGPT 問題, 精度, 応答 速度","原因→対処→再発防止のパターンで整理。",不要
no-expected-answer,troubleshooting,期待した答えが得られない,contents/level1-chatgpt-basics/troubleshooting/no-expected-answer.md,not_started,pages,初学者,"期待値調整と追加情報の与え方を学び、回答品質を改善する。","望む回答を引き出す方法","プロンプト 改善, 期待値 設定","目的再定義・具体化・例示のテクニック。",不要
accuracy-issues,troubleshooting,情報の正確性について,contents/level1-chatgpt-basics/troubleshooting/accuracy-issues.md,not_started,pages,初学者,"事実確認と出典要求の実践でリスクを減らす。","情報精度と検証のガイド","ハルシネーション 対策, 出典, 検証","検証手順・出典確認・再現テストの手引き。",不要
long-prompts,troubleshooting,プロンプトが長すぎる,contents/level1-chatgpt-basics/troubleshooting/long-prompts.md,not_started,pages,初学者,"長文を要素分解し指示を段階化するスキルを身につける。","長文プロンプトの分割術","プロンプト 分割, 階層化, 手順化","分割テンプレと依存関係整理の方法を紹介。",不要
response-speed,troubleshooting,応答速度の改善,contents/level1-chatgpt-basics/troubleshooting/response-speed.md,not_started,pages,初学者,"応答遅延の原因を理解し設定や運用で改善する。","ChatGPTを速く使うコツ","応答 速度, 設定, 運用","モデル選択/入力長/回数の最適化ポイントを解説。",不要
level2-models,,OpenAIモデル理解,contents/level2-models/level2-models.md,not_started,pages,初学者,"主要モデルの役割を理解し、ユースケースに最適な選択ができるようにする。","OpenAIモデル徹底理解","GPT-4o, Whisper, DALL·E, Embeddings","タスク別のモデル選定基準をわかりやすく整理。",不要
gpt-history,level2-models,GPTシリーズの歴史,contents/level2-models/gpt-history.md,not_started,pages,初学者,"モデル進化の文脈を理解し、性能・機能差を納得感をもって選べるようにする。","GPTの進化史と現在地","GPT 歴史, GPT-4, GPT-4o, 比較","年代別に主要トピックとブレイクスルーを俯瞰します。",不要
gpt4o-and-mini,level2-models,GPT-4oとGPT-4o mini,contents/level2-models/gpt4o-and-mini.md,not_started,pages,開発者,"精度とコストのトレードオフを理解し適材適所で使い分ける。","GPT-4o vs 4o mini 使い分け","GPT-4o 比較, 4o mini, 料金, 精度","速度/コスト/マルチモーダル性の観点で実務的に比較。",不要
whisper,level2-models,Whisper（音声認識）,contents/level2-models/whisper.md,not_started,pages,開発者,"録音データの精度高い文字起こしの要点と限界を理解する。","Whisper活用ガイド","音声認識, 文字起こし, STT","モデル特性・精度・活用パターンを整理。",不要
dalle,level2-models,DALL·E（画像生成）,contents/level2-models/dalle.md,not_started,pages,クリエイター,"画像生成の基本と安全な活用方法を学ぶ。","DALL·Eで始める画像生成","画像生成, プロンプト, DALL·E 3","構図/スタイル/禁止事項を踏まえた安全な使い方。",不要
tts,level2-models,TTS（音声合成）,contents/level2-models/tts.md,not_started,pages,開発者,"自然な音声合成の使い所と品質の見極めを学ぶ。","Text-to-Speech実践入門","TTS, 音声合成, 音声 API","用途別の声質/速度/感情表現の指示方法を紹介。",不要
embeddings,level2-models,Embeddings（検索・推薦）,contents/level2-models/embeddings.md,not_started,pages,開発者,"ベクトル検索の基礎を理解し、小規模RAGを自作できるようにする。","Embeddings入門とRAG最小構成","ベクトル検索, RAG, 類似度","小規模データでの検索/推薦の実装要点を解説。",不要
moderation,level2-models,Moderation（コンテンツ安全性）,contents/level2-models/moderation.md,not_started,pages,開発者,"公開アプリで必要な安全対策の基本を理解する。","Moderation APIの基礎","有害 コンテンツ, フィルタ, 安全対策","ポリシー適用とログ設計のポイントをまとめます。",不要
level3-api,,API活用,contents/level3-api/level3-api.md,not_started,pages,開発者,"OpenAI APIの各エンドポイントを横断的に理解し最小実装から着手できるようにする。","OpenAI API実践ガイド","OpenAI API, SDK, エンドポイント","最小の呼び出し例とエラー対処を横断整理。",不要
api-basics,level3-api,APIの基本,contents/level3-api/api-basics/api-basics.md,not_started,pages,開発者,"APIキー発行〜SDK導入〜初回呼び出しまでを通しで体験する。","APIの基本と最初の1リクエスト","APIキー, SDK, 初心者","最短で“動く”ところまで到達させます。","APIキー取得→SDK導入→Hello API"
api-key,api-basics,APIキー取得,contents/level3-api/api-basics/api-key.md,not_started,pages,開発者,"安全にAPIキーを管理し漏えいリスクを最小化する。","APIキーの安全な運用","APIキー 管理, 環境変数, 秘密管理","ベストプラクティスと運用チェックリスト。","環境変数/Secrets管理の実演"
python,api-basics,Pythonでの利用,contents/level3-api/api-basics/python.md,not_started,pages,開発者,"Pythonから各APIを最小実装で呼び出せるようにする。","Python×OpenAI最小実装集","Python SDK, サンプルコード","Chat/Embeddings/Images/Audioの最小例を掲載。","仮想環境→SDK→各API最小コードを実行"
nodejs,api-basics,Node.jsでの利用,contents/level3-api/api-basics/nodejs.md,not_started,pages,開発者,"Node.jsから各APIを最小実装で呼び出せるようにする。","Node.js×OpenAI最小実装集","Node SDK, TypeScript, サンプルコード","エラーハンドリング/型支援もカバー。","npm導入→SDK→各API最小コードを実行"
cost-management,api-basics,コスト管理,contents/level3-api/api-basics/cost-management.md,not_started,pages,開発者,"従量課金の見える化と削減テクニックを身につける。","APIコスト最適化の実務","料金 最適化, トークン 削減, ロギング","モデル選択と入力最適化で無駄を減らす。",不要
chat-completions,level3-api,Chat Completions,contents/level3-api/chat-completions.md,not_started,pages,開発者,"会話型アプリの基本APIを理解し最小のチャット機能を作る。","Chat Completions完全入門","チャット API, system プロンプト, メッセージ","role設計/温度/ツール呼び出しを基礎から説明。","最小チャット→関数呼び出し→評価"
embeddings-api,level3-api,Embeddings活用,contents/level3-api/embeddings-api.md,not_started,pages,開発者,"小規模RAG/検索の基礎を実装できるようにする。","Embeddingsで作る検索ミニアプリ","ベクトル 検索, RAG, 近傍探索","軽量RAGの設計と評価を実装付きで学ぶ。","ドキュメント取込→埋め込み→検索APIを実装"
images-api,level3-api,Images API（DALL·E）,contents/level3-api/images-api.md,not_started,pages,クリエイター,"プロンプトから画像生成・編集を体験し制作ワークフローに組み込む。","DALL·Eで作る画像生成フロー","画像 生成, 画像 編集, プロンプト","生成・編集・バリエーションの基本操作を学習。","生成→編集（inpainting）→保存・利用まで"
audio-api,level3-api,Audio API（Whisper/TTS）,contents/level3-api/audio-api.md,not_started,pages,開発者,"音声の文字起こしと音声合成を一通り実装できるようにする。","Whisper/TTS最小実装","音声認識, 音声合成, Audio API","録音→STT→要約→TTS出力の一連を体験。","録音→Whisper→要約→TTS生成→再生"
realtime-api,level3-api,Realtime API,contents/level3-api/realtime-api.md,not_started,pages,開発者,"音声/テキストの双方向リアルタイム対話を構築する。","Realtime APIで作る音声対話","WebRTC, WebSocket, 音声 対話","マイク入力→応答音声→ツール連携の最小構成を学ぶ。","ブラウザ→WebRTC→サーバ→応答合成まで"
moderation-api,level3-api,Moderation API,contents/level3-api/moderation-api.md,not_started,pages,開発者,"公開アプリで安全性を確保する最低限の導入を行う。","Moderation API実装ガイド","コンテンツ フィルタ, セーフティ, ポリシー","判定→ログ→ユーザー通知の基本フローを実装。","チャット入力→判定→分岐→ログ保存の実装"
level4-advanced,,応用とツール開発,contents/level4-advanced/level4-advanced.md,not_started,pages,開発者,"APIを組み合わせた実用ツールの設計とプロトタイピングを学ぶ。","応用とツール開発ガイド","エージェント, LangChain, Bot, 自動化","要素技術をつなぎ実務で使える形に仕上げます。",不要
prompt-engineering,level4-advanced,プロンプトエンジニアリング実践,contents/level4-advanced/prompt-engineering.md,not_started,pages,開発者,"評価可能なプロンプト開発プロセスを身につける。","プロンプト実験と評価の型","プロンプト エンジニアリング, 評価 指標, A/B","指標設計と失敗例から学ぶ改善術。",不要
langchain,level4-advanced,LangChain入門,contents/level4-advanced/langchain.md,not_started,pages,開発者,"ツール呼び出しやRAGをLangChainで素早く構築する。","LangChainで作る実用RAG","LangChain, エージェント, RAG","コンポーネント理解から最小RAGまで。","データ取り込み→索引→QAチェーンの構築"
llamaindex,level4-advanced,LlamaIndex入門,contents/level4-advanced/llamaindex.md,not_started,pages,開発者,"ドキュメントQAを素早く立ち上げ評価まで回す。","LlamaIndexで始めるドキュメントQA","LlamaIndex, RAG, 評価","インデックス設計/評価/改善の基本。","ローダ→インデックス→QueryEngine→評価"
slack-discord-bot,level4-advanced,Slack/Discord Bot開発,contents/level4-advanced/slack-discord-bot.md,not_started,pages,開発者,"チームで使えるチャットボットを短時間で立ち上げる。","Slack/Discordボット最短構築","Slack Bot, Discord Bot, Webhook","Chat API＋Webhookの実装手順を解説。","Bot作成→トークン設定→最小応答→デプロイ"
n8n-zapier,level4-advanced,n8n/Zapier連携,contents/level4-advanced/n8n-zapier.md,not_started,pages,開発者,"ノーコード連携で業務自動化を実装する。","n8n/Zapier×OpenAI自動化","n8n, Zapier, 自動化, ワークフロー","要約・分類・翻訳などの自動化例を紹介。","トリガ→OpenAI処理→通知/保存のワークフロー"
app-examples,level4-advanced,自作アプリ事例,contents/level4-advanced/app-examples.md,not_started,pages,開発者,"小規模でも価値が出る実例から学び応用の着想を得る。","小さく作って役立つAIアプリ集","事例 集, ミニアプリ, 学習効率","学習ノート検索、要約クリップ、音声メモ要約などの実例。",不要
level5-enterprise,,法人・教育向け利用,contents/level5-enterprise/level5-enterprise.md,not_started,pages,情報システム担当者,"組織導入の選択肢・要件・運用ポイントを把握する。","法人/教育でのOpenAI活用","ChatGPT Enterprise, Azure OpenAI, ガバナンス","プラン比較と運用設計の勘所を解説。",不要
chatgpt-enterprise,level5-enterprise,ChatGPT Enterprise,contents/level5-enterprise/chatgpt-enterprise.md,not_started,pages,情報システム担当者,"Enterprise機能と導入判断の材料を提供する。","ChatGPT Enterprise徹底解説","エンタープライズ, 管理機能, セキュリティ","機能/料金/管理性/SLAの観点で整理。",不要
chatgpt-edu,level5-enterprise,ChatGPT Edu,contents/level5-enterprise/chatgpt-edu.md,not_started,pages,教育機関担当者,"教育向けの導入メリットと運用の留意点を理解する。","ChatGPT Eduの活用ポイント","教育機関, 学生, 研究, 契約","教育現場でのユースケースと管理上の注意点。",不要
azure-openai,level5-enterprise,Azure OpenAI Service,contents/level5-enterprise/azure-openai.md,not_started,pages,情報システム担当者,"Azure基盤での利用要件と利点・制約を把握する。","Azure OpenAIのはじめ方","Azure OpenAI, セキュリティ, コンプライアンス","Azure上の提供モデルと連携メリットを整理。",不要
security-compliance,level5-enterprise,セキュリティとコンプライアンス,contents/level5-enterprise/security-compliance.md,not_started,pages,情報システム担当者,"社内利用時のデータ保護と監査対応の指針を示す。","生成AIのセキュリティ＆コンプライアンス","データ 保護, 監査, ポリシー, ガバナンス","データ分類/ログ/権限/利用規程の設計要点。",不要
case-studies,level5-enterprise,導入事例,contents/level5-enterprise/case-studies.md,not_started,pages,意思決定者,"他社の成功・失敗から学び導入判断の材料にする。","OpenAI導入事例集","事例, 成功 失敗, ROI, 業務改善","業種別のユースケースを要点で紹介。",不要
level6-future,,最新研究と未来,contents/level6-future/level6-future.md,not_started,pages,先進ユーザー,"最前線の研究・モデル動向をキャッチアップする。","最新研究動向と今後の展望","Sora, Codex, マルチモーダル, 研究","動向把握と次の学習テーマ選定の指針に。",不要
sora,level6-future,Sora（動画生成）,contents/level6-future/sora.md,not_started,pages,先進ユーザー,"テキスト→動画生成の可能性と制約を理解する。","Soraの現在地と可能性","動画 生成, マルチモーダル, 研究 動向","生成動画の特性・応用・倫理面を俯瞰。",不要
codex,level6-future,Codex（過去のコード特化モデル）,contents/level6-future/codex.md,not_started,pages,先進ユーザー,"歴史的モデルとしての位置づけと現行モデルとの違いを学ぶ。","Codexの役割と継承","Codex, コード生成, GPT-4 比較","現行モデルへの統合と移行の観点を整理。",不要
multimodal,level6-future,マルチモーダルAIの進化,contents/level6-future/multimodal.md,not_started,pages,先進ユーザー,"テキスト/画像/音声の統合理解がもたらす変化を掴む。","マルチモーダルAIの基礎と応用","マルチモーダル, 画像理解, 音声 対話","設計観点とユースケースをまとめる。",不要
open-source-comparison,level6-future,オープンソース系モデルとの比較,contents/level6-future/open-source-comparison.md,not_started,pages,開発者,"OSSモデルとの比較軸を理解し適材適所で使い分ける。","OpenAIとOSSモデルの比較表","Llama, Mistral, 比較, 評価","性能/コスト/運用性の観点で比較。",不要
future-trends,level6-future,今後の展望,contents/level6-future/future-trends.md,not_started,pages,先進ユーザー,"今後の方向性を踏まえ学習/投資計画に反映する。","生成AIの未来予測","ロードマップ, 研究, ビジネス インパクト","短中期の注目トピックを整理。",不要
appendix,,付録,contents/appendix/appendix.md,not_started,pages,全ユーザー,"参照性の高い資料を集約し学習・運用を支援する。","付録 | 用語集・FAQ・リンク","用語集, FAQ, 参考リンク, コスト","辞書/FAQ/試算シート/リンクのリソース集。",不要
glossary,appendix,用語集,contents/appendix/glossary.md,not_started,pages,全ユーザー,"専門用語の意味を素早く確認できるようにする。","OpenAI用語集","用語集, 定義, 初心者","最低限知っておきたい用語を簡潔に解説。",不要
faq,appendix,よくある質問（FAQ）,contents/appendix/faq.md,not_started,pages,全ユーザー,"共通の疑問を事前に解消し学習を円滑にする。","OpenAI FAQ","よくある質問, トラブル, 料金","つまずきやすい質問に一問一答で回答。",不要
cost-sheet,appendix,コスト試算シート,contents/appendix/cost-sheet.md,not_started,pages,開発者,"モデル別の概算費用を把握し予算計画に活かす。","APIコストの見積もり方","料金 試算, トークン, 目安","ユースケース別の概算表と削減Tipsを掲載。","使用量入力→概算料金算出の手順"
links,appendix,リンク集,contents/appendix/links.md,not_started,pages,全ユーザー,"信頼できる外部リソースへ素早くアクセスできるようにする。","OpenAI公式＆学習リンク集","公式 ドキュメント, GitHub, 学習 資料","必読の一次情報と良質な学習サイトを厳選掲載。",不要
