sidebar_position,slug,parent,title,status,post_type,seo_title,seo_keywords,seo_description,handson_overview
33,other-shells,shell-types-features,その他のシェル,draft,pages,その他のシェル | Ksh、Tcsh、PowerShell,"Korn Shell, Tcsh, PowerShell, その他のシェル",Korn Shell、Tcsh、PowerShellなど、その他の重要なシェルについて解説します。,各シェルの特徴的な機能を試します。
34,korn-shell,other-shells,Ksh (Korn Shell),draft,pages,Ksh (Korn Shell) | 商用UNIXの標準シェル,"Korn Shell, ksh, AIX, Solaris, 商用UNIX",商用UNIXで広く使われているKorn Shellの特徴と、現在の位置づけを解説します。,Korn Shellの独自機能を確認します。
35,tcsh,other-shells,Tcsh (TENEX C Shell),draft,pages,Tcsh (TENEX C Shell) | C Shellの拡張版,"Tcsh, TENEX C Shell, csh拡張, FreeBSD",C Shellの拡張版であるTcshの特徴と、FreeBSDでの採用について解説します。,Tcshのコマンドライン編集機能を体験します。
36,powershell,other-shells,PowerShell (Windows/Linux/macOS),draft,pages,PowerShell | クロスプラットフォームの次世代シェル,"PowerShell, Windows, クロスプラットフォーム, オブジェクト指向",Microsoftが開発したPowerShellの革新的な設計思想と、クロスプラットフォーム対応について解説します。,PowerShellのオブジェクト指向的な操作を体験します。
37,shell-check-switch,shell-types-features,シェルの確認と切り替え,draft,pages,シェルの確認と切り替え | 複数シェルの使い分け,"シェル 確認, シェル 切り替え, chsh, デフォルトシェル",現在使用中のシェルの確認方法と、シェルの切り替え方法について解説します。,複数のシェルを切り替えて使い分けます。
38,current-shell-check,shell-check-switch,現在のシェルの確認方法,draft,pages,現在のシェルの確認方法 | $SHELL vs $0の違い,"シェル 確認, $SHELL, $0, echo, ps",現在使用しているシェルを確認する複数の方法と、それぞれの違いについて解説します。,様々な方法で現在のシェルを確認します。
39,default-shell-change,shell-check-switch,デフォルトシェルの変更,draft,pages,デフォルトシェルの変更 | chshコマンドの使い方,"デフォルトシェル, chsh, /etc/shells, ログインシェル",ログインシェル（デフォルトシェル）を変更する方法と注意点を解説します。,chshコマンドでデフォルトシェルを変更します（元に戻す方法も確認）。
40,temporary-shell-switch,shell-check-switch,一時的なシェルの切り替え,draft,pages,一時的なシェルの切り替え | サブシェルの活用,"シェル 切り替え, サブシェル, exec, 一時的",一時的に別のシェルを使う方法と、元のシェルに戻る方法を解説します。,サブシェルを起動して、異なるシェル環境を体験します。
41,posix-compatibility,shell-types-features,POSIXとシェル互換性,draft,pages,POSIXとシェル互換性 | ポータブルなスクリプトを書く,"POSIX, シェル互換性, ポータブル, 標準規格",POSIX標準の重要性と、互換性のあるスクリプトの書き方について解説します。,POSIX準拠のスクリプトを作成して、複数のシェルで動作確認します。
42,posix-standard,posix-compatibility,POSIX標準とは,draft,pages,POSIX標準とは | シェルスクリプトの共通仕様,"POSIX標準, IEEE Std 1003.1, シェル仕様, 互換性",POSIX（Portable Operating System Interface）標準の概要と、シェルに関する規定を解説します。,POSIX準拠のコマンドと非準拠のコマンドを比較します。
43,compatible-script-writing,posix-compatibility,互換性のあるスクリプトの書き方,draft,pages,互換性のあるスクリプトの書き方 | どこでも動くコードを,"互換スクリプト, ポータブル, POSIX準拠, ベストプラクティス",異なるシェル環境でも動作するポータブルなスクリプトの書き方を解説します。,POSIX準拠のスクリプトを作成し、複数環境でテストします。
44,shell-specific-features,posix-compatibility,シェル固有機能の使い分け,draft,pages,シェル固有機能の使い分け | 互換性と機能性のバランス,"シェル固有機能, Bash拡張, Zsh拡張, フォールバック",シェル固有の便利な機能を使いつつ、互換性も保つ技術について解説します。,シェルを判定して適切な機能を使い分けるスクリプトを作成します。
45,first-script,introduction,はじめてのスクリプト,draft,pages,初めてのシェルスクリプト作成 | Hello World!,"シェルスクリプト, Hello World, 最初のスクリプト, 実行権限",記念すべき最初のシェルスクリプトを作成します。ファイルの作成、実行権限の付与、そして実行までの一連の流れを体験しましょう。,テキストエディタで`hello.sh`を作成し、実行権限を付与して実行します。
46,create-and-execute,first-script,ファイルの作成と実行権限,draft,pages,シェルスクリプトの作成と実行権限（chmod）の基本,"シェルスクリプト, ファイル作成, 実行権限, chmod, shebang",スクリプトファイルの基本的な構造と、`chmod`コマンドによる実行権限の付与、Shebangの重要性について学びます。,`touch`で空のファイルを作成し、`chmod 755`で権限を変更します。
47,hello-world,first-script,Hello World!,draft,pages,シェルスクリプトでHello World! | echoコマンドの基本,"シェルスクリプト, Hello World, echo, 基本コマンド",最も基本的な`echo`コマンドを使い、画面に「Hello World!」と表示するスクリプトを作成します。,`echo`コマンドを使い、様々な文字列を表示するスクリプトを作成・実行します。
48,core-syntax,,コア文法マスター,draft,pages,シェルスクリプトのコア文法マスターガイド,"シェルスクリプト 文法, 変数, 制御構文, if, for, 関数, 配列",スクリプトを自在に操るための必須知識。変数、引用符、条件分岐、ループ、関数、配列といったコア文法を体系的に学びます。,各文法項目について、簡単なサンプルスクリプトを作成します。
49,variables,core-syntax,変数,draft,pages,シェルスクリプトの変数 | 宣言、参照、特殊変数、環境変数,"シェルスクリプト 変数, 使い方, 特殊変数, 環境変数",文字列や数値を格納する変数の使い方をマスターします。基本的な宣言・参照方法から、特殊変数、環境変数までを網羅。,ユーザー名やホームディレクトリを変数に格納し、`echo`で表示します。
50,declaration-and-reference,variables,変数の宣言と参照,draft,pages,シェルスクリプトの変数宣言と参照方法,"シェルスクリプト 変数, 宣言, 参照, 代入",シェルスクリプトにおける変数の基本的な使い方、`=`を使った代入、`$`を使った参照方法を学びます。,"`VAR=""hoge""`のように変数を宣言し、`echo $VAR`で表示します。"
51,special-variables,variables,特殊な変数 ($? $# $@),draft,pages,シェルスクリプトの特殊変数 ($? $# $@) 完全ガイド,"シェルスクリプト, 特殊変数, $?, $#, $@, 引数, 終了コード","直前のコマンドの終了ステータス(`$?`)や、スクリプトに渡された引数(`$#`, `$@`, `$1`)など、自動的に設定される特殊な変数の使い方を解説します。",引数を2つ受け取り、その個数と内容を表示するスクリプトを作成します。
52,environment-variables,variables,環境変数,draft,pages,シェルスクリプトと環境変数 (PATH、HOME) の関係,"シェルスクリプト, 環境変数, PATH, HOME, export",`PATH`や`HOME`など、シェルの動作環境を定義する環境変数の役割と、`export`コマンドによる設定方法を学びます。,"`export MY_VAR=""test""`で環境変数を設定し、新しいシェルでも参照できることを確認します。"
53,quoting,core-syntax,引用符,draft,pages,シェルスクリプトの引用符 | シングル vs ダブルクォート、コマンド置換,"シェルスクリプト 引用符, クォート, シングル, ダブル, コマンド置換",文字列を正しく扱うための引用符の重要性を解説。変数展開の有無を決めるシングル/ダブルクォートの違いや、コマンド置換を学びます。,変数を含む文字列をシングルクォートとダブルクォートで囲み、表示の違いを確認します。
54,single-vs-double-quotes,quoting,シングルクォート vs ダブルクォート,draft,pages,シングルクォート vs ダブルクォートの違いと使い分け,"シェルスクリプト, シングルクォート, ダブルクォート, 違い",変数展開や特殊文字の解釈を抑制するシングルクォートと、それらを展開するダブルクォート。二つの違いを理解し、適切に使い分ける方法を学びます。,"`VAR=""World""`とし、`echo 'Hello $VAR'`と`echo ""Hello $VAR""`を実行して結果を比較します。"
55,command-substitution,quoting,コマンド置換,draft,pages,シェルスクリプトのコマンド置換 | `$(...)`とバッククォート,"シェルスクリプト, コマンド置換, $(), バッククォート",コマンドの実行結果を変数に代入したり、別のコマンドの引数として渡す「コマンド置換」の使い方をマスターします。,`DATE=$(date +%Y-%m-%d)`で今日の日付を変数に格納し、表示します。
56,conditional-branching,core-syntax,制御構文: 条件分岐,draft,pages,シェルスクリプトの条件分岐 | if、test、case文の使い方,"シェルスクリプト, 条件分岐, if, test, case",スクリプトに知性を与える条件分岐を学びます。`if`文、`test`コマンド、`case`文までを解説。,引数によって異なるメッセージを表示する`case`文を使ったスクリプトを作成します。
57,if-statement,conditional-branching,if文 (基本 else elif),draft,pages,シェルスクリプトのif文 | 基本、else、 elifの使い方,"シェルスクリプト, if文, else, elif, 条件分岐",条件に応じて処理を分岐させる`if`文の基本構文を学びます。`if-then-fi`から`else`や`elif`を使った複数条件の分岐まで。,数値が正・負・ゼロかを判定する`if-elif-else`スクリプトを作成します。
58,test-command,conditional-branching,testコマンドと[],draft,pages,testコマンドと`[]` | ファイル・数値・文字列の条件判定,"シェルスクリプト, testコマンド, [], 条件判定, 比較",`if`文の条件式で使われる`test`コマンド（`[`）の使い方を詳解。ファイルのチェック、数値比較、文字列判定などを学びます。,引数で与えられたパスがファイルかディレクトリかを判定するスクリプトを作成します。
59,case-statement,conditional-branching,case文,draft,pages,シェルスクリプトのcase文 | 複数条件分岐を簡潔に書く,"シェルスクリプト, case文, 条件分岐, パターンマッチ",多くの選択肢から一致するものを探して処理を分岐させる`case`文の使い方を学びます。,引数に応じて挨拶を出し分けるスクリプトを`case`文で作成します。
60,loops,core-syntax,制御構文: ループ,draft,pages,シェルスクリプトのループ処理 | for、while、until文,"シェルスクリプト, ループ, for, while, until, 繰り返し",反復処理を行うためのループ構文をマスターします。`for`、`while`、`until`ループを解説。,1から10までの数字を順番に表示するループを作成します。
61,for-loop,loops,forループ,draft,pages,シェルスクリプトのforループ | リストや連番の繰り返し処理,"シェルスクリプト, forループ, 繰り返し, in, seq",リストの各要素に対して処理を繰り返す`for`文の基本を学びます。,`for fruit in apple banana orange`で各果物の名前を表示します。
62,while-loop,loops,whileループ,draft,pages,シェルスクリプトのwhileループ | 条件が真の間繰り返す,"シェルスクリプト, whileループ, 繰り返し, 無限ループ",指定した条件が真である限り処理を繰り返す`while`ループの使い方を学びます。,カウンタ変数を1ずつ増やしながら5になるまでループします。
63,until-loop,loops,untilループ,draft,pages,シェルスクリプトのuntilループ | 条件が偽の間繰り返す,"シェルスクリプト, untilループ, 繰り返し, 条件",`while`ループとは逆に、条件が偽である限り処理を繰り返す`until`ループを学びます。,カウンタ変数を1ずつ増やし、5より大きくなるまでループします。
64,functions,core-syntax,関数,draft,pages,シェルスクリプトの関数 | 定義、引数、戻り値、スコープ,"シェルスクリプト, 関数, function, 引数, 戻り値, スコープ",処理をまとめて再利用可能にする「関数」の作り方を学びます。,2つの数値を受け取り、その合計を返す関数を作成します。
65,definition-and-call,functions,関数の定義と呼び出し,draft,pages,シェルスクリプトの関数定義と呼び出し方法,"シェルスクリプト, 関数, 定義, 呼び出し, function",処理をブロックとしてまとめる関数の基本的な定義方法と呼び出し方法を学びます。,現在時刻を表示する`print_time`関数を定義し、呼び出します。
66,arguments-and-return-values,functions,引数と戻り値,draft,pages,シェルスクリプトの関数の引数と戻り値,"シェルスクリプト, 関数, 引数, 戻り値, $1, return",関数にデータを渡すための「引数」と、実行結果を返すための「戻り値」の扱い方を学びます。,名前を引数として受け取り、挨拶を表示する関数を作成します。
67,scope,functions,スコープ,draft,pages,シェルスクリプトの変数スコープ | local変数,"シェルスクリプト, スコープ, local, グローバル変数",関数内で定義した変数のスコープと、`local`コマンドを使ったローカル変数を解説します。,`local`を付けた場合と付けない場合で変数の値がどう変わるか確認します。
68,arrays,core-syntax,配列,draft,pages,シェルスクリプトの配列 | 宣言、操作、連想配列,"シェルスクリプト, 配列, 使い方, 宣言, 連想配列",複数の値をまとめて管理できる「配列」の使い方を学びます。インデックス配列から連想配列まで。,複数の果物名を配列に格納し、ループで順番に表示します。
69,indexed-arrays,arrays,配列の宣言と操作,draft,pages,シェルスクリプトのインデックス配列 | 宣言・参照・要素の追加,"シェルスクリプト, 配列, 宣言, 参照, 追加",数値のインデックスを持つ標準的な配列の宣言方法、要素参照、要素追加などを学びます。,空の配列を宣言し、ループで1から5までの数値を追加して表示します。
70,associative-arrays,arrays,連想配列,draft,pages,シェルスクリプトの連想配列 (Bash 4+),"シェルスクリプト, 連想配列, ハッシュ, マップ, declare -A",文字列をキーとして値にアクセスできる「連想配列」の使い方を学びます。,個人情報を連想配列に格納し、キーを指定して値を表示します。
71,shell-builtin-commands,core-syntax,シェル組み込みコマンド,draft,pages,シェル組み込みコマンド | 内部コマンドの完全ガイド,"シェル組み込みコマンド, builtin, 内部コマンド, echo, cd",シェルに組み込まれた内部コマンドの使い方を体系的に学びます。外部コマンドとの違いも解説。,主要な組み込みコマンドを実際に使って動作を確認します。
72,echo-output,shell-builtin-commands,echo: 文字列の出力,draft,pages,echoコマンド | 文字列の出力と改行制御,"echo, 文字列出力, -n, -e, エスケープシーケンス",最も基本的な出力コマンド`echo`の使い方とオプションを詳しく解説します。,`echo`のオプションを使って様々な形式で文字列を出力します。
73,eval-execute-string,shell-builtin-commands,eval: 文字列をコマンドとして実行,draft,pages,evalコマンド | 文字列を動的にコマンドとして実行,"eval, 動的実行, 文字列評価, メタプログラミング",文字列をシェルコマンドとして評価・実行する`eval`の使い方と危険性を解説します。,変数に格納したコマンド文字列を`eval`で実行します。
74,exit-script-termination,shell-builtin-commands,exit: スクリプトの終了,draft,pages,exitコマンド | スクリプトの終了と終了コード,"exit, 終了コード, スクリプト終了, ステータス",スクリプトを終了させる`exit`コマンドと、終了コードの意味について解説します。,異なる終了コードでスクリプトを終了し、`$?`で確認します。
75,kill-process-termination,shell-builtin-commands,kill: プロセスの終了,draft,pages,killコマンド | プロセスにシグナルを送る,"kill, プロセス終了, シグナル, SIGTERM, SIGKILL",プロセスにシグナルを送って終了させる`kill`コマンドの使い方を解説します。,バックグラウンドプロセスを起動し、`kill`で終了させます。
76,ps-process-list,shell-builtin-commands,ps: プロセス一覧の表示,draft,pages,psコマンド | 実行中のプロセスを確認,"ps, プロセス一覧, プロセス確認, aux, ef",実行中のプロセスを表示する`ps`コマンドのオプションと見方を解説します。,`ps aux`や`ps ef`で現在のプロセスを確認します。
77,pwd-current-directory,shell-builtin-commands,pwd: 現在のディレクトリ表示,draft,pages,pwdコマンド | カレントディレクトリの確認,"pwd, カレントディレクトリ, 作業ディレクトリ, パス",現在の作業ディレクトリを表示する`pwd`コマンドの使い方を解説します。,`pwd`で現在位置を確認しながらディレクトリを移動します。
78,cd-directory-change,shell-builtin-commands,cd: ディレクトリの移動,draft,pages,cdコマンド | ディレクトリの移動と便利な使い方,"cd, ディレクトリ移動, チェンジディレクトリ, ~, -",ディレクトリを移動する`cd`コマンドの基本と便利な使い方を解説します。,`cd ~`、`cd -`などの便利な移動方法を試します。
79,read-user-input,shell-builtin-commands,read: ユーザー入力の受け取り,draft,pages,readコマンド | ユーザーからの入力を受け取る,"read, ユーザー入力, 対話的, プロンプト, -p",ユーザーからの入力を受け取る`read`コマンドの使い方を解説します。,`read`を使った対話的なスクリプトを作成します。
80,export-environment-variables,shell-builtin-commands,export: 環境変数のエクスポート,draft,pages,exportコマンド | 環境変数を子プロセスに引き継ぐ,"export, 環境変数, エクスポート, 子プロセス",環境変数を子プロセスに引き継ぐ`export`コマンドの使い方を解説します。,`export`した変数が子シェルで参照できることを確認します。
81,source-dot-script-loading,shell-builtin-commands,source/.: スクリプトの読み込み,draft,pages,source/. コマンド | 外部スクリプトの読み込み,"source, ., スクリプト読み込み, 設定ファイル",外部スクリプトを現在のシェルで実行する`source`（`.`）コマンドを解説します。,設定ファイルを`source`で読み込んで環境を構築します。
82,type-command-type-check,shell-builtin-commands,type: コマンドの種類確認,draft,pages,typeコマンド | コマンドの種類と場所を確認,"type, コマンド種類, which, 組み込み, エイリアス",コマンドの種類（組み込み、外部、エイリアス）を確認する`type`を解説します。,`type`で様々なコマンドの種類を確認します。
83,set-shell-options,shell-builtin-commands,set: シェルのオプション設定,draft,pages,setコマンド | シェルの動作オプションを設定,"set, シェルオプション, -e, -u, -x, デバッグ",シェルの動作を制御する`set`コマンドとそのオプションを解説します。,`set -x`でデバッグモードを有効にしてスクリプトを実行します。
84,unset-variable-removal,shell-builtin-commands,unset: 環境変数の削除,draft,pages,unsetコマンド | 変数や関数の削除,"unset, 変数削除, 環境変数削除, 関数削除",変数や関数を削除する`unset`コマンドの使い方を解説します。,変数を定義後、`unset`で削除して参照できなくなることを確認します。
85,alias-command-alias,shell-builtin-commands,alias: コマンドのエイリアス設定,draft,pages,aliasコマンド | コマンドの別名を設定,"alias, エイリアス, 別名, ショートカット",よく使うコマンドに別名を付ける`alias`の使い方を解説します。,`alias ll='ls -la'`のような便利なエイリアスを設定します。
86,unalias-alias-removal,shell-builtin-commands,unalias: コマンドのエイリアス削除,draft,pages,unaliasコマンド | エイリアスの削除,"unalias, エイリアス削除, 別名削除",設定したエイリアスを削除する`unalias`コマンドを解説します。,エイリアスを設定後、`unalias`で削除します。
87,history-command-history,shell-builtin-commands,history: コマンド履歴の表示,draft,pages,historyコマンド | コマンド履歴の確認と再実行,"history, コマンド履歴, 履歴, !!, !n",過去に実行したコマンドの履歴を表示する`history`を解説します。,`history`で履歴を確認し、`!!`や`!n`で再実行します。
88,fc-history-edit,shell-builtin-commands,fc: コマンド履歴の編集,draft,pages,fcコマンド | コマンド履歴の編集と再実行,"fc, 履歴編集, コマンド編集, 再実行",コマンド履歴を編集して再実行する`fc`コマンドを解説します。,`fc`で直前のコマンドを編集して再実行します。
89,fg-foreground-process,shell-builtin-commands,fg: バックグラウンドプロセスのフォアグラウンドへの移行,draft,pages,fgコマンド | バックグラウンドジョブを前面に,"fg, フォアグラウンド, ジョブ制御, バックグラウンド",バックグラウンドジョブをフォアグラウンドに戻す`fg`を解説します。,Ctrl+Zで停止したジョブを`fg`で再開します。
90,bg-background-process,shell-builtin-commands,bg: フォアグラウンドプロセスのバックグラウンドへの移行,draft,pages,bgコマンド | 停止中のジョブをバックグラウンドで再開,"bg, バックグラウンド, ジョブ制御, 再開",停止中のジョブをバックグラウンドで再開する`bg`を解説します。,Ctrl+Zで停止したジョブを`bg`でバックグラウンド実行します。
